宠物服务/配种	广州专业工作犬，宠物狗训练，寄养学校	天河 - 珠江新城600元
艺术培训	南山区DJ音乐节培训	萝岗面议
艺术培训	光明新区喊麦DJ音乐节培训	越秀面议
物业管理/保安	安保	越秀 - 就近分配8001-10000
出国劳务	广州境外就业	增城 - 四川省成都市高新区绿地之窗1栋905号20000元以上
商品出售	衡通仪  仪的	增城 - 汇太东路 - 广州市增城区新塘镇瑶田村西联环城路3..广州市君鸿电子科技有限公司
艺术培训	光明新区DJ音乐节培训	越秀面议
行政/后勤	广东广州花都高端美丽好	花都 - 工作地点可以按照个人户籍就近分配8001-10000元
工人/技工	找	白云 - 白云周边 - 东凤东路东坑街1号5001-8000元
运输/物流/仓管	从化仓管电子厂＋正式工普工＋弹性	从化 - 就近分配5001-8000
物业管理/保安	越秀包吃包住+	越秀 - 就近分配5001-8000
出国劳务	新西兰急招奶粉厂年薪39万，正规	花都 - 兰桂一号20000元以上
出国劳务	急招建筑工每天	增城 - 兰桂一号20000元以上
运输/物流/仓管	花都仓管电子厂＋长白班普工＋弹性	花都 - 就近分配5001-8000
艺术培训	龙岗区贵族DJ培训音乐节	海珠面议
物业管理/保安	荔湾包吃住+	荔湾 - 就近分配8001-10000
行政/后勤	广东广州从化好	从化 - 工作地点可以按照个人户籍就近分配8001-10000元
运输/物流/仓管	广州长途跟车员月过万	天河20000元以上
艺术培训	龙华区贵族DJ培训音乐节	黄埔面议
二手房出售	星河湾四期星座园 豪宅大户南北对流 业主	番禺 - 广州市番禺区迎宾路沙溪大桥南岸780万元
写字楼出租	地铁口 复式 大	海珠 - 海珠海珠区新港西客村艺苑南路13号60元/平米/月
行政/后勤	广州新理想好	越秀 - 全国根据个人户籍就近分配8000-10000元以上
行政/后勤	广州高薪做二休三好	白云 - 全国根据个人户籍就近分配8000-10000元以上
艺术培训	罗湖区DJ音乐节培训	天河面议
艺术培训	南山区Cnvdj	荔湾面议
电脑培训	广州Java学习后找	白云 - 永泰 - 学山塘学山文化创意谷A1栋六楼面议
电脑培训	广州学Java好找	白云 - 京溪 - 学山塘学山文化创意谷A1栋六楼面议
二手手机	室经营倒闭，苹果手机全部亏本处理、	天河950元
行政/后勤	好	天河 - 根据意向地分配5001-8000
艺术培训	盐田Cnvdj	增城面议
艺术培训	南山区贵族DJ培训音乐节	南沙面议
拖拉机/收割机	纯19年688.全车原版：	天河 - 全国发货面议
艺术培训	宝安区DJ音乐节培训	南沙面议
行政/后勤	好	增城 - 全国可分配3000-6000
展览展会	广州展台设计搭建的	天河 - 东圃 - 广州市天河区珠村东横路三路6号1栋30118719465533
平板电脑	室倒闭。几台苹果iPad平板和笔记本都亏本处理	天河850元
艺术培训	龙华区Cnvdj	广州周边面议
工人/技工	仓管普工电子品检文员＋开心	花都 - 苏州市虎丘区鹿山路369号国家环保产业园5001-8000
出国劳务	广州出国	白云 - 白云周边 - 诚招区域代理20000元以上
出国劳务	大量招聘土建	花都 - 兰桂一号20000元以上
商品出售	工厂服，工地服，	天河 - 东圃 - 广州市天河区东圃镇宦溪西路50-3八..广州裕晖鸿服装有限公司
出国劳务	出国	天河 - 成都市高新区吉庆一路绿地之窗1栋905号20000元以上
笔记本	室倒闭。买来不久几台笔记本和苹果平板全部亏本卖	天河900元
职业技能	广州增城新塘学会计好找	增城 - 塘泽教育(汇创校区)2180元
工程车	转让一台16年三一305挖掘机	黄埔23万元
工程车	低价转让一台16年小松240挖掘机	黄埔23万元
艺术培训	宝安区Cnvdj	天河面议
电脑培训	增城新塘学办公软件可以做什么	增城 - 新塘南 - 汇创商务中心5楼1元
工程车	急用钱转让12年沃尔沃460挖掘机	南沙44万元
行政/后勤	好	南沙 - 根据意向地分配5001-8000
财务/会计	招聘财务/会计助理，有双休，有话补，	黄埔 - 鱼珠 - 塘口新黄浦机械城B4-05面议
乐器/运动	因	花都 - 中区 - 广东省广州市花都区珠三角环线高速(狮..600元
艺术培训	南山区贵族DJ培训音乐节	萝岗面议
艺术培训	罗湖区DJ音乐节培训	增城面议
行政/后勤	好	花都 - 根据户籍地就近分配5k-8k
行政/后勤	广东广州增城首选好	增城 - 根据个人户籍就近分配8001-10000元
艺术培训	光明新区喊麦DJ音乐节培训	南沙面议
行政/后勤	好	从化 - 全国可分配3000-6000
行政/后勤	好	天河 - 根据意向地分配5001-8000
艺术培训	光明新区喊麦DJ音乐节培训	增城面议
艺术培训	坪山Cnvdj	广州周边面议
二手房出售	星河湾四期星座园 豪宅大户南北对流 业主	番禺 - 广州市番禺区迎宾路沙溪大桥南岸780万元
租房/出租	万科世博汇 精装修2室让您在繁忙的	番禺 - 汉溪大道西2700元
写字楼出租	地铁口 复式 大	海珠 - 海珠海珠区新港西客村艺苑南路13号60元/平米/月
艺术培训	罗湖区贵族DJ培训音乐节	荔湾面议
出国劳务	广州出国劳务澳大利亚	天河 - 成都市高新区吉庆一路绿地之窗1栋905号20000元以上
艺术培训	福田区贵族DJ培训音乐节	海珠面议
艺术培训	大鹏新区DJ音乐节培训	广州周边面议
行政/后勤	好	萝岗 - 全国可分配3000-6000
艺术培训	光明新区DJ音乐节培训	花都面议
艺术培训	深圳贵族DJ培训音乐节	天河面议
艺术培训	深圳Cnvdj	白云面议
电脑培训	广州花都狮岭哪里学箱包全能文员好 毕业包推荐	花都 - 中区 - 骏达商务大厦880元
艺术培训	深圳DJ音乐节培训	黄埔面议
艺术培训	光明新区DJ音乐节培训	广州周边面议
电脑培训	为	南沙面议
艺术培训	南山区DJ音乐节培训	荔湾面议
工艺收藏	广州白云区紫砂壶修复	白云 - 同和10元
工艺收藏	广州白云区瓷器修复	白云 - 同和10元
工艺收藏	广州白云区玉器修复	白云 - 同和10元
行政/后勤	好	番禺 - 全国可分配3000-6000
房屋维修	花都卫生间渗水到隔壁墙#花都我们该如何做窗户防水补漏的	花都 - 距离该商家1公里1.1元
艺术培训	深圳Cnvdj	越秀面议
商品出售	工厂服，工地服，	天河 - 东圃 - 广州市天河区东圃镇宦溪西路50-3八..广州裕晖鸿服装有限公司
出国劳务	广州合法工签拒接打黑工新西兰挪威华人区	黄埔 - 绿地之窗1栋905好20000元以上
