摄影 服务 	 北京 淘宝 摄影 	 海淀 - 全 北京 面议
行政 后勤 	 首选 好 	 怀柔 - 按 个人 意愿 和 户籍 所在地 就近 分配 5000 - 8000 元 以上
行政 后勤 	 2021 时尚 靓丽 好 	 延庆 - 根据 个人 意愿 就近 分配 5000 - 8000 元
行政 后勤 	 做二休 三七 险一金 好 	 通州 - 根据 个人 户籍 就近 分配 8001 - 10000
行政 后勤 	 2021 时尚 靓丽 好 	 海淀 - 根据 个人 意愿 就近 分配 5000 - 8000 元
拆旧 服务 	 海淀 交通 大学 渣土 垃圾清运 咨询电话 丰富 的 	 朝阳 - 望京 - 北京 各 地区 均 有 车队 , 就近 安排 发车 0 元
出国 劳务 	 北京 出国 	 朝阳 - 高新区 天府 二街 绿地 之窗 1 栋 90520000 元 以上
运输 物流 仓管 	 朝阳 开心 	 朝阳 - 就近 分配 5001 - 8000
物业管理 保安 	 北京 保安 	 朝阳 - 常营 - 龙湖 天街 3001 - 5000 元
行政 后勤 	 北京 好 	 房山 - 按照 意向 就近 分配 5 - 8 以上
拆旧 服务 	 北京 大兴区 24 小区 建筑 垃圾清运 丰富 的 	 朝阳 - 望京 - 北京 各 地区 均 有 车队 , 就近 安排 发车 0 元
职业技能 	 北京 有名 韩式 半 永久 培训 学校 - 北京 学纹 绣 	 西城 宣武 - 海奥 微整 培训 学校 3800 元
职业技能 	 海南 帮 你 找到 好 	 延庆 - 北京 朝阳区 5800 元
职业技能 	 北京 彩妆 美甲 纹 绣 培训 	 顺义 - 海奥 微整 培训 学校 3800 元
职业技能 	 重庆 哪里 有微 整形 培训 	 大兴 - 海奥 微整 培训 学校 3800 元
职业技能 	 重庆 微 整形 	 周边 - 海奥 微整 培训 学校 3800 元
职业技能 	 重庆 短期 微 整形 培训 	 东城 崇文 - 海奥 微整 培训 学校 3800 元
职业技能 	 重庆 哪里 有学微 整形 的 	 怀柔 - 海奥 微整 培训 学校 3800 元
职业技能 	 兰州 微 整形 注射 培训 价格 - 兰州 学完 推荐 	 平谷 - 海奥 微整 培训 学校 3800 元
职业技能 	 成都 微 整形 培训 微 整形 学校 - 成都 微 整形 培训 	 平谷 - 海奥 微整 培训 学校 3800 元
职业技能 	 长春 哪里 有微 整形 培训 	 西城 宣武 - 海奥 微整 培训 学校 3800 元
行政 后勤 	 好 	 周边 - 全国 可 分配 3000 - 6000
